Transform(Location(x=202.003693, y=-304.178680, z=0.022479), Rotation(pitch=-0.034786, yaw=91.291412, roll=-0.001770))
Transform(Location(x=201.997009, y=-303.884064, z=0.022293), Rotation(pitch=-0.027375, yaw=91.296127, roll=-0.001831))
Transform(Location(x=201.990250, y=-303.587860, z=0.022116), Rotation(pitch=-0.019869, yaw=91.300667, roll=-0.001923))
Transform(Location(x=201.983459, y=-303.290039, z=0.021943), Rotation(pitch=-0.012390, yaw=91.305145, roll=-0.002014))
Transform(Location(x=201.976624, y=-302.990662, z=0.021769), Rotation(pitch=-0.004979, yaw=91.309433, roll=-0.002075))
Transform(Location(x=201.969696, y=-302.689636, z=0.021593), Rotation(pitch=0.002397, yaw=91.313522, roll=-0.002136))
Transform(Location(x=201.962753, y=-302.387054, z=0.021414), Rotation(pitch=0.009719, yaw=91.317360, roll=-0.002167))
Transform(Location(x=201.955734, y=-302.082916, z=0.021245), Rotation(pitch=0.016399, yaw=91.320877, roll=-0.001526))
Transform(Location(x=201.948669, y=-301.777283, z=0.021128), Rotation(pitch=0.020695, yaw=91.323891, roll=-0.000549))
Transform(Location(x=201.941574, y=-301.470123, z=0.021084), Rotation(pitch=0.022021, yaw=91.326302, roll=-0.000061))
Transform(Location(x=201.934433, y=-301.161469, z=0.021084), Rotation(pitch=0.021932, yaw=91.328209, roll=0.000071))
Transform(Location(x=201.927246, y=-300.851288, z=0.021104), Rotation(pitch=0.021331, yaw=91.329773, roll=0.000103))
Transform(Location(x=201.920013, y=-300.539642, z=0.021133), Rotation(pitch=0.020600, yaw=91.331139, roll=0.000103))
